"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","Bandwidth"
15.570913696,15.570877209,15.199273427,15.261484064,64046666.6147,1331.71375841
15.554921815,15.554913971,15.192624519,15.255013004,10666666.6663,1333.08288184
15.546340488,15.546328564,15.186218279,15.246379103,2271604.93741,1333.8187219
15.538281353,15.538268062,15.176732709,15.238477719,674897.119005,1334.51052461
15.531822785,15.531817711,15.167578232,15.231871717,276406.035641,1335.06545156
15.526148048,15.526144937,15.163703146,15.226295944,142411.387205,1335.55341195
15.525229369,15.525226536,15.164527235,15.225306984,84767.9940627,1335.63244105
15.523486098,15.52348157,15.160560582,15.223550508,55350.6292781,1335.78243116
15.526696968,15.526688851,15.165684333,15.226793653,38518.7376158,1335.50619573
15.531757201,15.531754283,15.170806238,15.232058691,28086.3459706,1335.07108897
