"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","Bandwidth"
15.968998804,15.968885241,15.086274443,15.580572079,160073333.205,5194.06388704
15.890524695,15.890520763,15.117642129,15.597170823,26666666.6661,5219.71436387
15.884346037,15.884340581,15.153796449,15.591059642,5679012.34346,5221.74471689
15.863629154,15.863613299,15.146763885,15.570227438,1687242.79763,5228.56398084
15.821394298,15.821385877,15.122465129,15.52801406,691015.089136,5242.52151471
15.834462716,15.834449939,15.135210813,15.534048744,356028.468017,5238.1947836
15.834691043,15.834685905,15.114390949,15.541267624,211919.985145,5238.11925189
15.848363042,15.848344642,15.135399136,15.554914037,138376.573189,5233.60045326
15.850382413,15.850364359,15.119511757,15.557031991,96296.8440392,5232.9336819
15.861590059,15.861568444,15.132172168,15.567991688,70215.864928,5229.23614161
