"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","Bandwidth"
15.398616099,15.398609808,15.063449459,15.116989199,32033333.3073,448.871506086
15.389128244,15.389127253,15.061503334,15.116280011,5333333.33307,449.148248712
15.387899573,15.387898508,15.062355401,15.11511076,1135802.46871,449.184111659
15.388394364,15.388393194,15.060537021,15.115684255,337448.559451,449.16966881
15.38929757,15.389296785,15.064035102,15.116391442,138203.017822,449.143306805
15.388320737,15.388319289,15.061609467,15.115683124,71205.6936011,449.171817909
15.390081525,15.390080759,15.061547928,15.117262791,42383.9970368,449.120427905
15.389826316,15.389824995,15.061008227,15.116908868,27675.3146441,449.127875655
15.390746859,15.390746211,15.062804993,15.117945873,19259.3688045,449.101012662
15.389336487,15.389335538,15.060650412,15.116699651,14043.1729836,449.142170999
