"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","Bandwidth"
22.285185638,22.285181051,21.844554967,21.906588485,32033333.3073,310.161203603
22.250548242,22.25054725,21.826110077,21.883303399,5333333.33307,310.644031096
22.260301479,22.260300533,21.840511995,21.891951018,1135802.46871,310.507924006
22.243711902,22.243711281,21.826019549,21.87619996,337448.559451,310.739503841
22.273951608,22.273950884,21.846952914,21.904962173,138203.017822,310.317635669
22.254569168,22.254568451,21.833878559,21.887095907,71205.6936011,310.587904345
22.266250937,22.266250744,21.829498608,21.899049935,42383.9970368,310.424957464
22.265521377,22.265520683,21.834521474,21.89615626,27675.3146441,310.435128959
22.266428577,22.26642773,21.838971257,21.898903476,19259.3688045,310.422480915
22.266031334,22.266030377,21.850098245,21.898317018,14043.1729836,310.42801909
