#header_line 1: mpirun -np 2 --mca pml ob1 --map-by node --mca btl tcp,self ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 29
#header_line 2: ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
#header_line 3: 69.57, 2157.72
#header: #bytes	#repetitions t[usec] Mbytes/sec t[usec](computed) Mbytes/sec(computed)
0,1000,15.46,0,69.57,2157.72
1,1000,15.52,0.06,69.57,2157.72
2,1000,15.49,0.13,69.57,2157.72
4,1000,15.49,0.26,69.57,2157.72
8,1000,15.51,0.52,69.57,2157.72
16,1000,15.53,1.03,69.58,2157.72
32,1000,15.57,2.06,69.59,2157.72
64,1000,15.66,4.09,69.6,2157.72
128,1000,16.08,7.96,69.63,2157.72
256,1000,16.25,15.78,69.69,2157.72
512,1000,16.36,31.3,69.81,2157.72
1024,1000,16.79,61.02,70.04,2157.72
2048,1000,38.51,53.19,70.52,2157.72
4096,1000,38.92,105.26,71.47,2157.72
8192,1000,39.86,205.55,73.37,2157.72
16384,1000,41.67,393.24,77.16,2157.72
32768,1000,47.88,685.24,84.76,2157.72
65536,640,80.97,809.4,99.94,2157.72
131072,320,134.94,972.02,130.32,2157.72
262144,160,203.95,1285.57,191.06,2157.72
524288,80,315.72,1661.75,312.55,2157.72
1048576,40,522.15,2009.35,555.54,2157.72
2097152,20,929.52,2257.86,1041.5,2157.72
4194304,10,1919.11,2186.83,2013.43,2157.72
8388608,5,3962.5,2118.63,3957.29,2157.72
16777216,2,8000.04,2098.42,7845.01,2157.72
33554432,1,15990.94,2099.77,15620.46,2157.72
67108864,1,31527.53,2130.31,31171.35,2157.72
134217728,1,62741.48,2140.77,62273.12,2157.72
268435456,1,124252.08,2161.68,124476.68,2157.72
536870912,1,248807.62,2158.78,248883.78,2157.72
