#header_line 1: mpirun -np 2 --mca pml ucx --map-by socket --mca btl openib ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 29 
#header_line 2: ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
#header_line 3: -74.51, 5671.91
#header: #bytes	#repetitions t[usec] Mbytes/sec t[usec](computed) Mbytes/sec(computed)
0,1000,0.42,0,-74.51,5671.91
1,1000,0.42,2.37,-74.51,5671.91
2,1000,0.42,4.75,-74.51,5671.91
4,1000,0.42,9.55,-74.51,5671.91
8,1000,0.42,19.14,-74.51,5671.91
16,1000,0.42,38.01,-74.5,5671.91
32,1000,0.57,56.4,-74.5,5671.91
64,1000,0.58,111.08,-74.5,5671.91
128,1000,1.06,120.47,-74.48,5671.91
256,1000,1.1,233.69,-74.46,5671.91
512,1000,1.2,426.33,-74.42,5671.91
1024,1000,1.46,701.87,-74.33,5671.91
2048,1000,2.09,977.38,-74.15,5671.91
4096,1000,2.99,1371.72,-73.78,5671.91
8192,1000,4.7,1741.95,-73.06,5671.91
16384,1000,7.14,2295.98,-71.62,5671.91
32768,1000,12.97,2527.26,-68.73,5671.91
65536,640,23.88,2744.12,-62.95,5671.91
131072,320,45.58,2876.51,-51.4,5671.91
262144,160,14.67,17871.58,-28.29,5671.91
524288,80,25.86,20280.49,17.93,5671.91
1048576,40,59.1,17748.63,110.37,5671.91
2097152,20,157.98,13276.96,295.24,5671.91
4194304,10,324,12948.29,664.98,5671.91
8388608,5,717.03,11707.35,1404.47,5671.91
16777216,2,2202.31,7627.08,2883.44,5671.91
33554432,1,5733.3,5853.77,5841.39,5671.91
67108864,1,11909.19,5635.17,11757.29,5671.91
134217728,1,23836.62,5630.81,23589.1,5671.91
268435456,1,47487.69,5652.89,47252.7,5671.91
536870912,1,94423.55,5685.88,94579.91,5671.91
