#header_line 1:  mpirun -np 2 --mca pml ucx --map-by socket --mca btl vader ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 29
#header_line 2: ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
#header_line 3: -74.52, 5665.98
#header: #bytes	#repetitions t[usec] Mbytes/sec t[usec](computed) Mbytes/sec(computed)
0,1000,0.42,0,-74.52,5665.98
1,1000,0.43,2.32,-74.52,5665.98
2,1000,0.42,4.76,-74.52,5665.98
4,1000,0.42,9.51,-74.52,5665.98
8,1000,0.42,19.02,-74.52,5665.98
16,1000,0.42,37.94,-74.52,5665.98
32,1000,0.57,56.34,-74.52,5665.98
64,1000,0.58,110.78,-74.51,5665.98
128,1000,1.08,118.93,-74.5,5665.98
256,1000,1.1,233.19,-74.48,5665.98
512,1000,1.19,429.43,-74.43,5665.98
1024,1000,1.47,695.71,-74.34,5665.98
2048,1000,2.11,972.92,-74.16,5665.98
4096,1000,2.99,1370.69,-73.8,5665.98
8192,1000,4.72,1736.87,-73.08,5665.98
16384,1000,7.33,2234.82,-71.63,5665.98
32768,1000,13.04,2513.05,-68.74,5665.98
65536,640,23.93,2739.17,-62.96,5665.98
131072,320,45.27,2897.6,-51.39,5665.98
262144,160,14.69,17839.95,-28.26,5665.98
524288,80,25.76,20354.14,18.01,5665.98
1048576,40,59.4,17660.36,110.54,5665.98
2097152,20,157.57,13310.41,295.61,5665.98
4194304,10,323.81,12953.65,665.74,5665.98
8388608,5,702.66,11941.39,1406,5665.98
16777216,2,2195.14,7644.84,2886.52,5665.98
33554432,1,5731.86,5854.21,5847.56,5665.98
67108864,1,11932.51,5624.14,11769.64,5665.98
134217728,1,23851.38,5627.32,23613.81,5665.98
268435456,1,47601.16,5639.4,47302.14,5665.98
536870912,1,94492.61,5681.68,94678.8,5665.98
