"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","Bandwidth"
15.47268264,15.471552359,15.050244312,15.18058637,64046666.6147,1340.1683782
15.462246932,15.46222474,15.049878013,15.178820056,10666666.6663,1341.07287842
15.463701693,15.463691095,15.050439968,15.18041291,2271604.93741,1340.94671584
15.462059084,15.462049809,15.049534174,15.178656687,674897.119005,1341.08917107
15.463110103,15.463096395,15.050886521,15.17984006,276406.035641,1340.99801798
15.461808828,15.461800476,15.049283489,15.17844444,142411.387205,1341.11087717
15.464293285,15.464282274,15.049842716,15.180946778,84767.9940627,1340.89541745
15.462142759,15.462127336,15.050412576,15.178768993,55350.6292781,1341.08191363
15.464161002,15.464155136,15.050319839,15.180861827,38518.7376158,1340.90688769
15.462868877,15.462860237,15.049133171,15.179475208,28086.3459706,1341.01893801
