"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","MPLUs"
15.575412893,15.57508615,15.165195431,15.267643286,64046666.6147,1331.32907246
15.585072321,15.585067948,15.185787109,15.286720073,10666666.6663,1330.50393177
15.600637543,15.600631728,15.198752803,15.302283523,2271604.93741,1329.17644826
15.598313073,15.598286244,15.197026207,15.299759912,674897.119005,1329.37452293
15.583171646,15.583169117,15.182095404,15.284815203,276406.035641,1330.66621295
15.565996614,15.565993631,15.164943078,15.267413295,142411.387205,1332.13442828
15.563994307,15.563990637,15.162131269,15.26561102,84767.9940627,1332.3058073
15.560651167,15.560638493,15.159572184,15.262114001,55350.6292781,1332.59204756
15.540205831,15.540200054,15.137955644,15.241692437,38518.7376158,1334.34526064
15.516245646,15.516236944,15.115929114,15.217816943,28086.3459706,1336.40575646
