"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","MPLUs"
15.432118092,15.431625731,15.05073573,15.123665006,104059999.916,2687.38223443
15.425023392,15.425015446,15.051808151,15.125741658,17333333.3328,2688.618289
15.424123728,15.424120796,15.05223617,15.124695911,3691358.02327,2688.77511172
15.424471377,15.424468546,15.05159387,15.125172804,1096707.81844,2688.71450997
15.424590835,15.424577167,15.051060885,15.12536272,449159.807929,2688.69368683
15.424304076,15.424294966,15.051453474,15.124928166,231418.504209,2688.74367334
15.423623116,15.423610046,15.051725758,15.124245963,137747.990347,2688.8623826
15.424553211,15.424541565,15.051158525,15.125188232,89944.7725746,2688.70024517
15.42356078,15.423556407,15.051222656,15.12429007,62592.9486258,2688.87324993
15.424936951,15.424933706,15.051209889,15.125577668,45640.3122031,2688.63335596
