"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","MPLUs"
15.369017979,15.368983813,15.065937401,15.081828872,32033333.3073,449.735956419
15.361827444,15.361826533,15.064873155,15.083104169,5333333.33307,449.94646797
15.362890296,15.362889231,15.064200449,15.084349797,1135802.46871,449.91533929
15.362094212,15.362093677,15.065030112,15.083432784,337448.559451,449.938654497
15.362625576,15.362624685,15.064391884,15.084365654,138203.017822,449.923091974
15.362112482,15.362111673,15.065513854,15.083729366,71205.6936011,449.938119389
15.361886696,15.361885893,15.064561912,15.083525974,42383.9970368,449.944732492
15.362171025,15.362170047,15.065290391,15.08377163,27675.3146441,449.936404741
15.36160457,15.3616036,15.064759384,15.083056029,19259.3688045,449.952996024
15.36172588,15.361725276,15.065067716,15.083351871,14043.1729836,449.94944279
