"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","Bandwidth"
15.419444643,15.419439394,15.065219044,15.122324285,48039999.961,896.530343346
15.411167273,15.411163828,15.065850115,15.122719068,7999999.99969,897.011871659
15.410792586,15.410789209,15.064776596,15.122396452,1703703.70306,897.033680964
15.411419266,15.41141558,15.066398038,15.122966724,506172.839227,896.997204566
15.410852875,15.410845446,15.064796704,15.122485636,207304.526726,897.030171667
15.411509011,15.411506155,15.066595912,15.123009362,106808.540404,896.991981131
15.410879271,15.410870805,15.065406624,15.122434343,63575.995549,897.02863522
15.411488805,15.41148501,15.066586833,15.123174124,41512.9719591,896.993157177
15.410760874,15.410757379,15.064208041,15.122307705,28889.0532118,897.035526865
15.411903963,15.411901771,15.067120818,15.123578675,21064.7594773,896.968994434
