"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","Bandwidth"
15.397252506,15.396963331,15.060454214,15.107995567,48039999.961,897.822517012
15.3874999,15.387492783,15.061505601,15.106977368,7999999.99969,898.391557423
15.38842667,15.388418639,15.060255397,15.10779833,1703703.70306,898.337451674
15.387762748,15.387759722,15.062210083,15.107118831,506172.839227,898.376211434
15.389630894,15.389626737,15.062033706,15.10902896,207304.526726,898.267157622
15.387296088,15.387293126,15.062224266,15.106653201,106808.540404,898.403457043
15.389037723,15.389034446,15.063422802,15.108437175,63575.995549,898.301781361
15.387204194,15.387196376,15.061482161,15.106645525,41512.9719591,898.408822403
15.388435217,15.388431898,15.061293612,15.107752374,28889.0532118,898.336952722
15.387596419,15.38759358,15.062260003,15.106971285,21064.7594773,898.385922244
