"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","MPLUs"
22.313036359,22.312741696,21.721719944,21.933610537,64046666.6147,929.322198305
22.300615945,22.300602707,21.72164099,21.929610862,10666666.6663,929.839787885
22.302825543,22.30281272,21.724783858,21.931828942,2271604.93741,929.747666278
22.308275883,22.308262191,21.723416199,21.937678527,674897.119005,929.520511076
22.314678632,22.314570874,21.71363901,21.943198209,276406.035641,929.253803829
22.312296364,22.31228243,21.716759967,21.941503407,142411.387205,929.353019596
22.316676196,22.316663911,21.715665268,21.946017366,84767.9940627,929.170626391
22.323972254,22.323603605,21.713637115,21.953267692,55350.6292781,928.866949128
22.325249657,22.325234291,21.721082937,21.954105245,38518.7376158,928.81380135
22.32495566,22.324943039,21.743571312,21.953973228,28086.3459706,928.826032884
