"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","Bandwidth"
11.555134886,11.554854092,10.920849444,11.213407234,76053333.2723,1794.52686659
11.543325451,11.543316685,10.923153081,11.213847648,12666666.6664,1796.36276288
11.543529436,11.543523334,10.922528358,11.213698934,2697530.86318,1796.33101947
11.54934875,11.549343687,10.925501089,11.215215002,801440.32897,1795.42591092
11.542415907,11.542400088,10.9261364,11.212760662,328232.167353,1796.50431652
11.5436722,11.543658192,10.923143755,11.213772762,169113.522305,1796.30880371
11.543142539,11.543129231,10.921669283,11.213384661,100661.992939,1796.39122795
11.543282222,11.543274584,10.920948443,11.213536521,65728.872265,1796.36949017
11.544215735,11.544211187,10.922302169,11.214458313,45741.0009183,1796.22422831
11.546148002,11.546143259,10.925373439,11.216387191,33352.5358438,1795.92362721
