"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","MPLUs"
22.234400222,22.234366945,21.727129718,21.866901799,32033333.3073,310.869640332
22.246409912,22.246408734,21.726553325,21.887433319,5333333.33307,310.701817837
22.263666893,22.26366448,21.728518303,21.904775314,1135802.46871,310.460987097
22.269890834,22.269889608,21.725312755,21.911131386,337448.559451,310.374220131
22.273374632,22.27337348,21.727778715,21.914403625,138203.017822,310.325674228
22.270259611,22.270258723,21.726743786,21.911295046,71205.6936011,310.369080591
22.267244404,22.267242385,21.727177173,21.908396588,42383.9970368,310.411107661
22.271460652,22.271458951,21.728192649,21.912518451,27675.3146441,310.352343207
22.273676294,22.273674825,21.727690965,21.914066101,19259.3688045,310.321471353
22.269080634,22.26907895,21.727718801,21.91013284,14043.1729836,310.385512254
