"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","Bandwidth"
22.425364384,22.425360128,21.735946447,22.048183201,48039999.961,616.444832881
22.415072497,22.414756194,21.734787768,22.045726381,7999999.99969,616.727873704
22.436551606,22.436539942,21.7350315,22.067883751,1703703.70306,616.137463669
22.433102416,22.433093669,21.734909824,22.064446743,506172.839227,616.232197564
22.444659091,22.444650411,21.735123359,22.075658781,207304.526726,615.914901801
22.441845636,22.441843586,21.735828819,22.072933096,106808.540404,615.992116879
22.434358867,22.434355118,21.735766064,22.065589796,63575.995549,616.197685076
22.430895869,22.430887119,21.735657111,22.062032611,41512.9719591,616.292816869
22.442708584,22.442703875,21.735196207,22.073782603,28889.0532118,615.968431273
22.438655197,22.438645778,21.734691881,22.069805646,21064.7594773,616.079701686
