#header_line 1: mpirun -np 2 --mca pml ucx --map-by core --mca btl vader ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 29
#header_line 2: ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
#header_line 3: -22.75, 5971.49
#header: #bytes	#repetitions t[usec] Mbytes/sec t[usec](computed) Mbytes/sec(computed)
0,1000,0.21,0,-22.75,5971.49
1,1000,0.2,4.96,-22.75,5971.49
2,1000,0.19,10.35,-22.75,5971.49
4,1000,0.19,20.68,-22.75,5971.49
8,1000,0.19,41.3,-22.75,5971.49
16,1000,0.19,83.42,-22.75,5971.49
32,1000,0.23,139.55,-22.75,5971.49
64,1000,0.23,282.36,-22.74,5971.49
128,1000,0.32,398.85,-22.73,5971.49
256,1000,0.33,777.41,-22.71,5971.49
512,1000,0.38,1337.36,-22.67,5971.49
1024,1000,0.5,2053.65,-22.58,5971.49
2048,1000,0.76,2704.02,-22.41,5971.49
4096,1000,1.14,3601.09,-22.07,5971.49
8192,1000,1.91,4289.94,-21.38,5971.49
16384,1000,3.05,5377.78,-20.01,5971.49
32768,1000,4.96,6606.57,-17.27,5971.49
65536,640,8.61,7618.24,-11.78,5971.49
131072,320,15.73,8336.42,-0.8,5971.49
262144,160,13.8,19049.52,21.15,5971.49
524288,80,25.45,20680.85,65.05,5971.49
1048576,40,54.48,19258.55,152.84,5971.49
2097152,20,143.82,14585.82,328.44,5971.49
4194304,10,327,12828.42,679.64,5971.49
8388608,5,945.01,8876.84,1382.02,5971.49
16777216,2,2510.01,6684.16,2786.8,5971.49
33554432,1,5689.32,5900.58,5596.35,5971.49
67108864,1,11573.53,5801.01,11215.46,5971.49
134217728,1,22872.33,5869.64,22453.66,5971.49
268435456,1,45400.03,5915.46,44930.08,5971.49
536870912,1,89511.89,5999.8,89882.92,5971.49
