#header_line 1: cat $PBS_NODEFILE | uniq > hosts.txt
		mpirun -n 2 -perhost 1 -machinefile hosts.txt ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 29 
#header_line 2: ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
#header_line 3: 4.28, 12187.82
#header: #bytes	#repetitions t[usec] Mbytes/sec t[usec](computed) Mbytes/sec(computed)
0,1000,1.34,0,4.28,12187.82
1,1000,1.34,0.75,4.28,12187.82
2,1000,1.35,1.48,4.28,12187.82
4,1000,1.35,2.97,4.28,12187.82
8,1000,1.35,5.94,4.28,12187.82
16,1000,1.35,11.87,4.28,12187.82
32,1000,1.37,23.41,4.29,12187.82
64,1000,1.56,41.14,4.29,12187.82
128,1000,1.61,79.57,4.29,12187.82
256,1000,2.29,120.23,4.3,12187.82
512,1000,1.95,263.84,4.32,12187.82
1024,1000,2.13,481.7,4.37,12187.82
2048,1000,2.81,730.11,4.45,12187.82
4096,1000,3.59,1144.45,4.62,12187.82
8192,1000,4.56,1801.85,4.95,12187.82
16384,1000,6.32,2598.25,5.63,12187.82
32768,1000,10.54,3110.37,6.97,12187.82
65536,640,13.36,4906.7,9.66,12187.82
131072,320,22.56,5809.45,15.04,12187.82
262144,160,33.21,7894.38,25.79,12187.82
524288,80,55.75,9404.61,47.3,12187.82
1048576,40,98.3,10667.05,90.32,12187.82
2097152,20,185.5,11305.19,176.35,12187.82
4194304,10,354.83,11820.64,348.42,12187.82
8388608,5,697.71,12023.12,692.56,12187.82
16777216,2,1386.07,12104.21,1380.84,12187.82
33554432,1,2760.25,12156.36,2757.39,12187.82
67108864,1,5514.18,12170.26,5510.51,12187.82
134217728,1,11016.87,12182.94,11016.73,12187.82
268435456,1,21958.59,12224.67,22029.17,12187.82
536870912,1,44088.33,12177.19,44054.07,12187.82
