"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","MPLUs"
24.206991572,24.206498864,22.661109018,23.239875848,48039999.961,571.074681415
23.154160637,23.154154923,22.62455261,22.690312204,7999999.99969,597.04172467
23.170613178,23.17060445,22.637311058,22.705774805,1703703.70306,596.617788826
23.183655831,23.183651066,22.653152004,22.72173059,506172.839227,596.282143799
23.195422003,23.195411034,22.659860464,22.730443231,207304.526726,595.979672119
23.221886568,23.221880794,22.691320826,22.759381293,106808.540404,595.300470507
23.22399786,23.223992216,22.690047235,22.758855469,63575.995549,595.246351784
23.223602826,23.22359302,22.693174618,22.760857066,41512.9719591,595.256476937
23.225346582,23.225341405,22.692841506,22.760228287,28889.0532118,595.211785159
23.233508723,23.233502257,22.703582795,22.771697189,21064.7594773,595.002681894
