"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","MPLUs"
22.084412231,22.084412231,21.7304149,21.7304149,12019999.9907,78.2452338747
22.078287484,22.078287484,21.731467979,21.731467979,1999999.99988,78.2669399179
22.077753362,22.077753362,21.731269447,21.731269447,425925.925769,78.2688334119
22.08168101,22.08168101,21.734673031,21.734673031,126543.209762,78.2549118075
22.077142818,22.077142818,21.730722432,21.730722432,51826.1316912,78.2709979387
22.080354812,22.080354812,21.731353858,21.731353858,26702.1350987,78.2596119815
22.081975224,22.081975224,21.735542011,21.735542011,15893.9988922,78.2538691612
22.077726183,22.077726183,21.731159436,21.731159436,10378.2429895,78.2689297655
22.079903154,22.079903154,21.730978093,21.730978093,7222.26329851,78.26121283
22.103574747,22.103574747,21.753736381,21.753736381,5266.18987139,78.1773997998
