"Maxtime","Mintime","MinJacobi","MaxJacobi","Residuals","MPLUs"
15.318963933,15.318963933,15.049238125,15.049238125,12019999.9907,112.801362256
15.334777383,15.334777383,15.074016552,15.074016552,1999999.99988,112.685039818
15.311530411,15.311530411,15.05074098,15.05074098,425925.925769,112.856125653
15.334540661,15.334540661,15.073712724,15.073712724,126543.209762,112.686779357
15.312430466,15.312430466,15.051560361,15.051560361,51826.1316912,112.849492041
15.334349092,15.334349092,15.073640748,15.073640748,26702.1350987,112.68818713
15.311556533,15.311556533,15.050690309,15.050690309,15893.9988922,112.855933117
15.334170544,15.334170544,15.073367831,15.073367831,10378.2429895,112.689499249
15.31009825,15.31009825,15.049245726,15.049245726,7222.26329851,112.866682616
15.335365214,15.335365214,15.074673016,15.074673016,5266.18987139,112.680720406
